ticker,currency,company_name,exchange,exchange_short,timezone
WIAU.L,USD,ISHS IV/SHS CL-USD (ACC) USD,London Stock Exchange,LSE,Europe/London
EIH.L,USD,EIH PLC,London Stock Exchange,LSE,Europe/London
IDTW.L,USD,ISHS/SHS EUR,London Stock Exchange,LSE,Europe/London
IUAA.L,USD,ISHS II/SHS CL-ACCUMG USD,London Stock Exchange,LSE,Europe/London
TFG.L,USD,Tetragon Financial Group Limited,London Stock Exchange,LSE,Europe/London
EMDD.L,USD,SSGA SPDR I/SHS USD,London Stock Exchange,LSE,Europe/London
XLCS.L,USD,INVESCO MKT/SHS CL-ACC USD,London Stock Exchange,LSE,Europe/London
MINT.L,USD,PIMCO FXD/SHS USD,London Stock Exchange,LSE,Europe/London
GASD.L,USD,BST/ASST BKD  20621130 NATURAL GAS,London Stock Exchange,LSE,Europe/London
XCAD.L,USD,XTRACKERS MSCI CAN/USD,London Stock Exchange,LSE,Europe/London
XGSI.L,USD,XTRACK II-GLO.GOV/USD,London Stock Exchange,LSE,Europe/London
LSFT.L,USD,ETFS COMM/2X DAILY LONG SOFTS,London Stock Exchange,LSE,Europe/London
3GOL.L,USD,BST/ASST BKD 20621130 GLD 3X LEV,London Stock Exchange,LSE,Europe/London
HMWD.L,USD,HSBC ETFS/SHS USD,London Stock Exchange,LSE,Europe/London
SAWD.L,USD,ISHS IV/SHS CL-ACCUMG USD,London Stock Exchange,LSE,Europe/London
LHEA.L,USD,ETFS COMM/2X DAILY LONG HEATING,London Stock Exchange,LSE,Europe/London
LJPY.L,USD,ETFS FORE/LONG JPY SHORT USD,London Stock Exchange,LSE,Europe/London
XPAL.L,USD,DB ETC/PHYSICAL PALLADIUM ET,London Stock Exchange,LSE,Europe/London
DEMA.L,USD,WISDOMTREE ISSU/SHS USD,London Stock Exchange,LSE,Europe/London
MIK.L,USD,Meikles Ltd,London Stock Exchange,LSE,Europe/London
WDSC.L,USD,SSGA SPDR II/SHS USD,London Stock Exchange,LSE,Europe/London
SSOB.L,USD,ETFS COMM/1X DAILY SHORT SOYBEA,London Stock Exchange,LSE,Europe/London
ACIA.L,USD,ACER INC NEW/GDR 144A,London Stock Exchange,LSE,Europe/London
CSUS.L,USD,CS ETF/SHS USD,London Stock Exchange,LSE,Europe/London
IUMS.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
MXWO.L,USD,SRCE MKT/SHS CL-A USD,London Stock Exchange,LSE,Europe/London
LKOE.L,USD,PJSC LUKOIL/S ADR 144A,London Stock Exchange,LSE,Europe/London
3SIL.L,USD,BST/ASST BKD 20621130 SLVR 3X LV,London Stock Exchange,LSE,Europe/London
FB2.L,USD,LEV/ETP 2X FACEBOOK 20670403,London Stock Exchange,LSE,Europe/London
SDHY.L,USD,ISHS IV/SHS USD,London Stock Exchange,LSE,Europe/London
COTN.L,USD,ETFS COMM/COTTON,London Stock Exchange,LSE,Europe/London
DXJ.L,USD,WISDOMTREE ISSU/SHS USD,London Stock Exchange,LSE,Europe/London
QDIV.L,USD,BLCKROCK AMIL/SHS USD,London Stock Exchange,LSE,Europe/London
US35.L,USD,LYX.IBOXX TREAS.3-5/USD,London Stock Exchange,LSE,Europe/London
3BRS.L,USD,BST/ASST BKD 20621130 B OIL3X SH,London Stock Exchange,LSE,Europe/London
EMIL.L,USD,SSGA SPDR I/SHS USD,London Stock Exchange,LSE,Europe/London
SNIK.L,USD,ETFS COMM/1X DAILY SHORT NICKEL,London Stock Exchange,LSE,Europe/London
HLTW.L,USD,MULTI UNITS LUX-L.M/USD,London Stock Exchange,LSE,Europe/London
FWEU.L,USD,LEG&GEN UCITS/SHS ETF DIS EUR,London Stock Exchange,LSE,Europe/London
FEDA.L,USD,FED BK LTD/S ADR 144A,London Stock Exchange,LSE,Europe/London
BIOT.L,USD,LEG&GEN UCITS/SHS ETF ACC USD,London Stock Exchange,LSE,Europe/London
CU2U.L,USD,AMUNDI I.SOL.-MSCI/USD,London Stock Exchange,LSE,Europe/London
XYLD.L,USD,XTRACK/SHS CL-ID USD,London Stock Exchange,LSE,Europe/London
OILZ.L,USD,BST/ASST BKD 20621130 WTI 1X SHR,London Stock Exchange,LSE,Europe/London
LEGR.L,USD,FT GBL/CL-A USD,London Stock Exchange,LSE,Europe/London
RBOD.L,USD,ISHS IV/SHS CL-DIS USD,London Stock Exchange,LSE,Europe/London
IDTL.L,USD,ISHS IV/SHS USD,London Stock Exchange,LSE,Europe/London
IPLT.L,USD,ISHS PHYS/SHS USD,London Stock Exchange,LSE,Europe/London
1PAS.L,USD,BST/ASST BKD 20621130 PALLAD 1X SH,London Stock Exchange,LSE,Europe/London
SMRU.L,USD,AMUNDI I.SOL.-E.GL./USD,London Stock Exchange,LSE,Europe/London
LSIL.L,USD,ETFS COMM/2X DAILY LONG SILVER,London Stock Exchange,LSE,Europe/London
GRAF.L,USD,ETFS COMM/LONGER DATED GRAINS DJ-UB,London Stock Exchange,LSE,Europe/London
5HED.L,USD,OSSIAM IRL/SHS CL-1A USD,London Stock Exchange,LSE,Europe/London
LNZD.L,USD,ETFS FORE/LONG NZD SHORT USD,London Stock Exchange,LSE,Europe/London
USVL.L,USD,SSGA SPDR II/SHS USD,London Stock Exchange,LSE,Europe/London
LTMU.L,USD,M.U.L.-LYXOR MSCI E/EUR,London Stock Exchange,LSE,Europe/London
RUSU.L,USD,M.U.L.-LYXOR MSCI/GBP,London Stock Exchange,LSE,Europe/London
3CFS.L,USD,ETFS COMM/3X DAILY SHORT COFFEE,London Stock Exchange,LSE,Europe/London
47KT.L,USD,PAINTS & CHEM I/GDR 144A,London Stock Exchange,LSE,Europe/London
IUVD.L,USD,ISHS IV/SHS USD DISTRG,London Stock Exchange,LSE,Europe/London
MIL.L,USD,Myanmar Investments International Ltd,London Stock Exchange,LSE,Europe/London
NBPU.L,USD,NB Private Equity Partners Ltd,London Stock Exchange,LSE,Europe/London
XG7U.L,USD,X-TR.II-GLO.INFL.LI/USD,London Stock Exchange,LSE,Europe/London
CBU0.L,USD,CS ETF/SHS USD,London Stock Exchange,LSE,Europe/London
